Sample Name,Method Name,Status,Created At,Peak #,Retention Time (s),Height,Area,FWHM,Plates,Tailing
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,1,1.850,0.84,0.42,0.240,310,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,2,3.210,1.05,1.11,0.296,720,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,3,4.480,0.92,0.98,0.281,640,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,4,6.150,2.31,4.87,0.368,1850,1.04
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,5,8.020,0.75,1.62,0.305,910,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,6,9.640,1485.20,9245.10,0.512,4530,1.18
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,7,11.380,3.44,12.05,0.421,2680,1.09
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,8,12.750,1.28,3.96,0.349,1720,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,9,14.900,0.96,2.20,0.332,1490,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,10,17.240,1.61,5.88,0.398,2240,1.12
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,11,19.680,0.88,1.94,0.318,1080,
Sample_2026-001,USP Method 1,Completed,2026-09-01T10:15:30.0000000Z,12,22.400,1.10,4.41,0.356,1980,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,1,1.920,0.91,0.47,0.252,290,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,2,3.340,1.10,1.20,0.301,680,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,3,4.560,0.88,0.95,0.289,610,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,4,6.270,2.45,5.12,0.371,1790,1.07
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,5,8.110,0.79,1.70,0.312,880,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,6,9.710,1392.44,8640.22,0.744,1650,1.62
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,7,11.520,3.51,12.44,0.430,2540,1.14
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,8,12.880,1.33,4.05,0.355,1680,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,9,15.020,0.99,2.31,0.338,1420,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,10,17.390,1.66,6.02,0.402,2160,1.10
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,11,19.810,0.92,2.02,0.324,1040,
Sample_2026-002,USP Method 1,Completed,2026-09-01T10:58:12.0000000Z,12,22.550,1.15,4.58,0.361,1930,
